[PASS] numerator = 000, denominator = 000, result = 00000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 000, denominator = 001, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 000, denominator = 010, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 000, denominator = 011, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 000, denominator = 100, result = 00000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 000, denominator = 101, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 000, denominator = 110, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 000, denominator = 111, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 001, denominator = 000, result = 00000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 001, denominator = 001, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 001, denominator = 010, result = 00001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 001, denominator = 011, result = 00001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 001, denominator = 100, result = 00000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 001, denominator = 101, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 001, denominator = 110, result = 00001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 001, denominator = 111, result = 00001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 010, denominator = 000, result = 00000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 010, denominator = 001, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 010, denominator = 010, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 010, denominator = 011, result = 00010, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 010, denominator = 100, result = 00000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 010, denominator = 101, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 010, denominator = 110, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 010, denominator = 111, result = 00010, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 011, denominator = 000, result = 00000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 011, denominator = 001, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 011, denominator = 010, result = 00001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 011, denominator = 011, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 011, denominator = 100, result = 00000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 011, denominator = 101, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 011, denominator = 110, result = 00001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 011, denominator = 111, result = 00000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 100, denominator = 000, result = 10000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 100, denominator = 001, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 100, denominator = 010, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 100, denominator = 011, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 100, denominator = 100, result = 10000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 100, denominator = 101, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 100, denominator = 110, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 100, denominator = 111, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 101, denominator = 000, result = 10000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 101, denominator = 001, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 101, denominator = 010, result = 10001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 101, denominator = 011, result = 10001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 101, denominator = 100, result = 10000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 101, denominator = 101, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 101, denominator = 110, result = 10001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 101, denominator = 111, result = 10001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 110, denominator = 000, result = 10000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 110, denominator = 001, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 110, denominator = 010, result = 10000, zeroFlag = 1, divByZeroFlag = 0
