[PASS] num1 = 000 , num2 = 000 , result = 00000 , zeroFlag = 1, operation = 1
[PASS] num1 = 000 , num2 = 001 , result = 10001 , zeroFlag = 0, operation = 1
[PASS] num1 = 000 , num2 = 010 , result = 10010 , zeroFlag = 0, operation = 1
[PASS] num1 = 000 , num2 = 011 , result = 10011 , zeroFlag = 0, operation = 1
[PASS] num1 = 000 , num2 = 100 , result = 00000 , zeroFlag = 1, operation = 1
[PASS] num1 = 000 , num2 = 101 , result = 00001 , zeroFlag = 0, operation = 1
[PASS] num1 = 000 , num2 = 110 , result = 00010 , zeroFlag = 0, operation = 1
[PASS] num1 = 000 , num2 = 111 , result = 00011 , zeroFlag = 0, operation = 1
[PASS] num1 = 001 , num2 = 000 , result = 00001 , zeroFlag = 0, operation = 1
[PASS] num1 = 001 , num2 = 001 , result = 00000 , zeroFlag = 1, operation = 1
[PASS] num1 = 001 , num2 = 010 , result = 10001 , zeroFlag = 0, operation = 1
[PASS] num1 = 001 , num2 = 011 , result = 10010 , zeroFlag = 0, operation = 1
[PASS] num1 = 001 , num2 = 100 , result = 00001 , zeroFlag = 0, operation = 1
[PASS] num1 = 001 , num2 = 101 , result = 00010 , zeroFlag = 0, operation = 1
[PASS] num1 = 001 , num2 = 110 , result = 00011 , zeroFlag = 0, operation = 1
[PASS] num1 = 001 , num2 = 111 , result = 00100 , zeroFlag = 0, operation = 1
[PASS] num1 = 010 , num2 = 000 , result = 00010 , zeroFlag = 0, operation = 1
[PASS] num1 = 010 , num2 = 001 , result = 00001 , zeroFlag = 0, operation = 1
[PASS] num1 = 010 , num2 = 010 , result = 00000 , zeroFlag = 1, operation = 1
[PASS] num1 = 010 , num2 = 011 , result = 10001 , zeroFlag = 0, operation = 1
[PASS] num1 = 010 , num2 = 100 , result = 00010 , zeroFlag = 0, operation = 1
[PASS] num1 = 010 , num2 = 101 , result = 00011 , zeroFlag = 0, operation = 1
[PASS] num1 = 010 , num2 = 110 , result = 00100 , zeroFlag = 0, operation = 1
[PASS] num1 = 010 , num2 = 111 , result = 00101 , zeroFlag = 0, operation = 1
[PASS] num1 = 011 , num2 = 000 , result = 00011 , zeroFlag = 0, operation = 1
[PASS] num1 = 011 , num2 = 001 , result = 00010 , zeroFlag = 0, operation = 1
[PASS] num1 = 011 , num2 = 010 , result = 00001 , zeroFlag = 0, operation = 1
[PASS] num1 = 011 , num2 = 011 , result = 00000 , zeroFlag = 1, operation = 1
[PASS] num1 = 011 , num2 = 100 , result = 00011 , zeroFlag = 0, operation = 1
[PASS] num1 = 011 , num2 = 101 , result = 00100 , zeroFlag = 0, operation = 1
[PASS] num1 = 011 , num2 = 110 , result = 00101 , zeroFlag = 0, operation = 1
[PASS] num1 = 011 , num2 = 111 , result = 00110 , zeroFlag = 0, operation = 1
[PASS] num1 = 100 , num2 = 000 , result = 00000 , zeroFlag = 1, operation = 1
[PASS] num1 = 100 , num2 = 001 , result = 10001 , zeroFlag = 0, operation = 1
[PASS] num1 = 100 , num2 = 010 , result = 10010 , zeroFlag = 0, operation = 1
[PASS] num1 = 100 , num2 = 011 , result = 10011 , zeroFlag = 0, operation = 1
[PASS] num1 = 100 , num2 = 100 , result = 00000 , zeroFlag = 1, operation = 1
[PASS] num1 = 100 , num2 = 101 , result = 00001 , zeroFlag = 0, operation = 1
[PASS] num1 = 100 , num2 = 110 , result = 00010 , zeroFlag = 0, operation = 1
[PASS] num1 = 100 , num2 = 111 , result = 00011 , zeroFlag = 0, operation = 1
[PASS] num1 = 101 , num2 = 000 , result = 10001 , zeroFlag = 0, operation = 1
[PASS] num1 = 101 , num2 = 001 , result = 10010 , zeroFlag = 0, operation = 1
[PASS] num1 = 101 , num2 = 010 , result = 10011 , zeroFlag = 0, operation = 1
[PASS] num1 = 101 , num2 = 011 , result = 10100 , zeroFlag = 0, operation = 1
[PASS] num1 = 101 , num2 = 100 , result = 10001 , zeroFlag = 0, operation = 1
[PASS] num1 = 101 , num2 = 101 , result = 00000 , zeroFlag = 1, operation = 1
[PASS] num1 = 101 , num2 = 110 , result = 00001 , zeroFlag = 0, operation = 1
[PASS] num1 = 101 , num2 = 111 , result = 00010 , zeroFlag = 0, operation = 1
[PASS] num1 = 110 , num2 = 000 , result = 10010 , zeroFlag = 0, operation = 1
[PASS] num1 = 110 , num2 = 001 , result = 10011 , zeroFlag = 0, operation = 1
[PASS] num1 = 110 , num2 = 010 , result = 10100 , zeroFlag = 0, operation = 1
[PASS] num1 = 110 , num2 = 011 , result = 10101 , zeroFlag = 0, operation = 1
[PASS] num1 = 110 , num2 = 100 , result = 10010 , zeroFlag = 0, operation = 1
[PASS] num1 = 110 , num2 = 101 , result = 10001 , zeroFlag = 0, operation = 1
[PASS] num1 = 110 , num2 = 110 , result = 00000 , zeroFlag = 1, operation = 1
[PASS] num1 = 110 , num2 = 111 , result = 00001 , zeroFlag = 0, operation = 1
[PASS] num1 = 111 , num2 = 000 , result = 10011 , zeroFlag = 0, operation = 1
[PASS] num1 = 111 , num2 = 001 , result = 10100 , zeroFlag = 0, operation = 1
